Return_ID,Order_ID,Customer_ID,Return_Date,Category,Return_Reason,Refund_Amount,Status
RET00124,ORD007335,CUST0186,2023-12-05,Groceries,Product not as described,1764.39,Pending
RET00125,ORD001829,CUST0072,2023-05-31,Clothing,Product not as described,11008.4,Pending
RET00126,ORD006592,CUST0058,2023-06-25,Sports,Late delivery,4321.53,Pending
RET00127,ORD006364,CUST0337,2023-02-04,Electronics,Product not as described,57153.89,Rejected
RET00128,ORD005174,CUST0383,2023-07-08,Clothing,Damaged packaging,7614.2,Pending
RET00129,ORD004922,CUST0154,2024-01-09,Groceries,Defective product,493.97,Rejected
RET00130,ORD005062,CUST0451,2023-11-13,Sports,Defective product,324.87,Approved
RET00131,ORD010312,CUST0277,2023-09-07,Clothing,Wrong item delivered,12326.74,Approved
RET00132,ORD004581,CUST0272,2023-07-08,Clothing,Changed mind,8317.53,Rejected
RET00133,ORD011256,CUST0459,2023-05-10,Clothing,Better price elsewhere,6976.33,Pending
RET00134,ORD010699,CUST0301,2023-07-31,Clothing,Changed mind,1355.45,Pending
RET00135,ORD000407,CUST0452,2023-04-01,Furniture,Defective product,25527.75,Pending
RET00136,ORD005029,CUST0137,2023-10-12,Toys,Late delivery,6493.95,Approved
RET00137,ORD002518,CUST0254,2023-11-03,Groceries,Late delivery,413.93,Pending
RET00138,ORD005447,CUST0108,2023-03-02,Sports,Damaged packaging,9616.94,Pending
RET00139,ORD009739,CUST0073,2023-02-07,Clothing,Product not as described,11834.9,Rejected
RET00140,ORD009922,CUST0470,2023-04-30,Clothing,Size mismatch,5217.48,Rejected
RET00141,ORD009810,CUST0210,2023-10-11,Groceries,Changed mind,223.45,Approved
RET00142,ORD004210,CUST0281,2023-02-12,Electronics,Defective product,212082.02,Pending
RET00143,ORD010135,CUST0008,2023-07-11,Groceries,Damaged packaging,1498.55,Approved
RET00144,ORD002894,CUST0270,2023-07-18,Books,Wrong item delivered,829.87,Pending
RET00145,ORD011575,CUST0022,2023-10-26,Groceries,Late delivery,2516.12,Pending
RET00146,ORD008741,CUST0209,2023-03-22,Clothing,Damaged packaging,4013.79,Approved
RET00147,ORD000123,CUST0274,2023-04-03,Sports,Damaged packaging,11661.98,Rejected
RET00148,ORD006514,CUST0438,2023-10-09,Clothing,Late delivery,3650.42,Approved
RET00149,ORD005425,CUST0483,2023-09-08,Clothing,Better price elsewhere,1211.78,Approved
RET00150,ORD010429,CUST0140,2023-11-28,Groceries,Defective product,463.94,Approved
RET00151,ORD010261,CUST0289,2024-01-17,Groceries,Size mismatch,3083.91,Pending
RET00152,ORD010318,CUST0120,2023-05-09,Groceries,Damaged packaging,1110.26,Approved
RET00153,ORD000376,CUST0054,2023-04-02,Electronics,Changed mind,212052.92,Approved
RET00154,ORD006930,CUST0330,2023-10-08,Sports,Late delivery,17072.11,Approved
RET00155,ORD010700,CUST0312,2023-07-31,Furniture,Wrong item delivered,11687.01,Rejected
RET00156,ORD007045,CUST0159,2023-04-17,Clothing,Late delivery,4333.59,Approved
RET00157,ORD005002,CUST0101,2023-02-05,Toys,Changed mind,1097.25,Approved
RET00158,ORD005729,CUST0123,2023-06-20,Groceries,Product not as described,1357.51,Approved
RET00159,ORD008285,CUST0201,2023-10-27,Books,Better price elsewhere,1975.64,Approved
RET00160,ORD003373,CUST0013,2023-08-27,Clothing,Late delivery,11939.02,Pending
RET00161,ORD011934,CUST0128,2023-09-14,Electronics,Size mismatch,19993.62,Approved
RET00162,ORD011508,CUST0257,2023-04-20,Groceries,Product not as described,3410.02,Rejected
RET00163,ORD000682,CUST0041,2023-08-29,Toys,Better price elsewhere,3024.88,Approved
RET00164,ORD003444,CUST0217,2023-12-19,Clothing,Late delivery,421.73,Pending
RET00165,ORD009893,CUST0171,2023-06-25,Groceries,Size mismatch,1582.0,Rejected
RET00166,ORD011584,CUST0392,2023-10-04,Electronics,Product not as described,67935.3,Rejected
RET00167,ORD004420,CUST0283,2023-05-23,Electronics,Late delivery,15710.58,Approved
RET00168,ORD002751,CUST0252,2023-04-20,Toys,Size mismatch,5202.93,Rejected
RET00169,ORD005965,CUST0452,2023-01-08,Clothing,Wrong item delivered,11329.18,Pending
RET00170,ORD005304,CUST0396,2023-11-10,Electronics,Size mismatch,226971.59,Rejected
RET00171,ORD007275,CUST0393,2023-08-21,Groceries,Product not as described,227.54,Approved
RET00172,ORD006140,CUST0346,2023-08-24,Groceries,Defective product,2001.44,Approved
RET00173,ORD001844,CUST0406,2023-04-26,Groceries,Changed mind,3257.78,Rejected
RET00174,ORD010518,CUST0481,2023-07-30,Groceries,Defective product,1025.5,Approved
RET00175,ORD005881,CUST0465,2023-06-14,Groceries,Changed mind,1082.09,Pending
RET00176,ORD009802,CUST0203,2023-03-14,Groceries,Damaged packaging,841.95,Approved
RET00177,ORD006202,CUST0383,2023-12-02,Furniture,Defective product,45544.09,Pending
RET00178,ORD004281,CUST0008,2023-06-10,Furniture,Size mismatch,26437.56,Approved
RET00179,ORD011937,CUST0429,2023-10-04,Toys,Product not as described,2661.57,Pending
RET00180,ORD000915,CUST0065,2023-08-13,Books,Size mismatch,837.32,Rejected
RET00181,ORD004954,CUST0483,2023-03-25,Toys,Better price elsewhere,6254.93,Approved
RET00182,ORD002859,CUST0383,2023-12-28,Clothing,Changed mind,1239.09,Pending
RET00183,ORD010105,CUST0279,2023-08-13,Electronics,Changed mind,51715.79,Approved
RET00184,ORD004239,CUST0379,2023-10-12,Clothing,Damaged packaging,3719.05,Pending
RET00185,ORD006872,CUST0057,2023-07-19,Clothing,Product not as described,13504.17,Rejected
RET00186,ORD011248,CUST0345,2024-01-20,Clothing,Damaged packaging,920.61,Pending
RET00187,ORD011356,CUST0086,2023-12-17,Electronics,Defective product,256061.62,Approved
RET00188,ORD003124,CUST0396,2023-08-07,Furniture,Wrong item delivered,43328.02,Rejected
RET00189,ORD009344,CUST0175,2023-04-09,Groceries,Product not as described,796.6,Rejected
RET00190,ORD006155,CUST0205,2023-06-20,Books,Late delivery,1640.46,Pending
RET00191,ORD003438,CUST0468,2023-10-15,Groceries,Changed mind,705.03,Pending
RET00192,ORD004249,CUST0400,2023-11-10,Groceries,Damaged packaging,636.97,Approved
RET00193,ORD009543,CUST0418,2023-09-21,Groceries,Wrong item delivered,961.21,Pending
RET00194,ORD010522,CUST0320,2023-03-05,Clothing,Size mismatch,4601.79,Approved
RET00195,ORD003120,CUST0499,2023-10-12,Sports,Defective product,23927.4,Rejected
RET00196,ORD011574,CUST0090,2023-01-19,Toys,Late delivery,8019.98,Pending
RET00197,ORD011760,CUST0454,2023-07-05,Furniture,Better price elsewhere,30560.46,Approved
RET00198,ORD011897,CUST0377,2023-06-08,Groceries,Size mismatch,891.25,Pending
RET00199,ORD000070,CUST0040,2023-10-29,Groceries,Changed mind,3345.3,Approved
RET00200,ORD006276,CUST0430,2023-04-19,Sports,Changed mind,6552.99,Rejected
RET00201,ORD004584,CUST0249,2023-12-31,Furniture,Wrong item delivered,65151.09,Approved
RET00202,ORD011836,CUST0171,2023-11-21,Furniture,Wrong item delivered,7845.89,Approved
RET00203,ORD011077,CUST0175,2023-06-27,Electronics,Better price elsewhere,17586.79,Rejected
RET00204,ORD009280,CUST0466,2023-05-31,Toys,Product not as described,3140.39,Rejected
RET00205,ORD001782,CUST0367,2023-04-14,Groceries,Wrong item delivered,2602.22,Approved
RET00206,ORD011340,CUST0452,2023-03-01,Clothing,Damaged packaging,8043.37,Approved
RET00207,ORD004773,CUST0450,2024-01-02,Electronics,Late delivery,169607.35,Rejected
RET00208,ORD005209,CUST0010,2023-11-30,Clothing,Late delivery,1452.93,Rejected
RET00209,ORD005031,CUST0111,2023-04-21,Clothing,Better price elsewhere,2084.25,Pending
RET00210,ORD007549,CUST0448,2023-09-18,Sports,Changed mind,3240.0,Approved
RET00211,ORD002822,CUST0216,2023-11-04,Electronics,Size mismatch,234584.01,Approved
RET00212,ORD003234,CUST0143,2023-02-24,Sports,Wrong item delivered,3227.22,Pending
RET00213,ORD005242,CUST0126,2023-10-03,Groceries,Wrong item delivered,921.87,Pending
RET00214,ORD005522,CUST0446,2024-01-08,Groceries,Size mismatch,3913.57,Approved
RET00215,ORD000096,CUST0314,2023-09-12,Clothing,Wrong item delivered,1576.05,Pending
RET00216,ORD003894,CUST0138,2023-12-30,Furniture,Better price elsewhere,25889.9,Rejected
RET00217,ORD008604,CUST0186,2023-04-24,Books,Changed mind,3552.06,Approved
RET00218,ORD001504,CUST0224,2023-11-11,Clothing,Late delivery,3124.14,Approved
RET00219,ORD002194,CUST0451,2023-08-05,Electronics,Damaged packaging,78685.19,Pending
RET00220,ORD003559,CUST0238,2023-12-28,Toys,Defective product,1983.58,Pending
RET00221,ORD005566,CUST0331,2023-05-09,Clothing,Changed mind,9398.92,Rejected
RET00222,ORD008385,CUST0240,2023-11-22,Toys,Wrong item delivered,4090.28,Pending
RET00223,ORD005648,CUST0140,2024-01-14,Clothing,Changed mind,2139.91,Pending
RET00224,ORD003904,CUST0500,2024-01-01,Groceries,Wrong item delivered,1211.66,Approved
RET00225,ORD000113,CUST0244,2023-10-29,Sports,Better price elsewhere,1464.76,Pending
RET00226,ORD006730,CUST0496,2023-10-19,Toys,Damaged packaging,1459.31,Pending
RET00227,ORD002572,CUST0047,2023-12-22,Groceries,Wrong item delivered,5557.74,Pending
RET00228,ORD006042,CUST0081,2023-04-05,Clothing,Better price elsewhere,14760.31,Rejected
RET00229,ORD011087,CUST0435,2023-06-18,Groceries,Damaged packaging,2308.33,Pending
RET00230,ORD010530,CUST0330,2023-09-21,Furniture,Wrong item delivered,46901.77,Pending
RET00231,ORD007914,CUST0193,2023-03-26,Furniture,Changed mind,7791.95,Approved
RET00232,ORD010010,CUST0214,2023-02-17,Sports,Size mismatch,15062.58,Approved
RET00233,ORD004847,CUST0308,2023-04-16,Electronics,Product not as described,114664.19,Approved
RET00234,ORD002111,CUST0199,2023-09-14,Sports,Better price elsewhere,3201.81,Approved
RET00235,ORD002538,CUST0100,2023-09-06,Furniture,Wrong item delivered,29423.53,Approved
RET00236,ORD000689,CUST0266,2023-06-28,Toys,Wrong item delivered,2905.23,Pending
RET00237,ORD000519,CUST0095,2023-08-18,Furniture,Late delivery,19484.4,Rejected
RET00238,ORD005488,CUST0259,2023-04-07,Groceries,Wrong item delivered,116.85,Approved
RET00239,ORD000286,CUST0432,2023-05-08,Sports,Changed mind,19989.57,Approved
RET00240,ORD001985,CUST0448,2023-04-13,Electronics,Product not as described,68362.02,Approved
RET00241,ORD009548,CUST0326,2023-05-11,Groceries,Changed mind,1760.32,Approved
RET00242,ORD007638,CUST0406,2023-02-07,Toys,Damaged packaging,10957.25,Rejected
RET00243,ORD009635,CUST0281,2023-11-01,Electronics,Wrong item delivered,83090.16,Pending
RET00244,ORD004140,CUST0497,2023-11-20,Clothing,Wrong item delivered,6788.13,Approved
RET00245,ORD007788,CUST0489,2023-12-04,Clothing,Changed mind,780.67,Approved
RET00246,ORD007535,CUST0327,2023-09-13,Groceries,Size mismatch,1034.19,Rejected
RET00247,ORD005338,CUST0057,2023-09-06,Groceries,Better price elsewhere,1981.93,Approved
RET00248,ORD009150,CUST0403,2023-09-09,Books,Better price elsewhere,1413.81,Pending
RET00249,ORD005728,CUST0253,2023-07-12,Sports,Damaged packaging,1254.9,Rejected
RET00250,ORD001256,CUST0411,2023-01-29,Sports,Damaged packaging,17598.88,Approved
RET00251,ORD000204,CUST0346,2023-02-01,Sports,Late delivery,5631.96,Pending
RET00252,ORD010498,CUST0067,2023-07-07,Electronics,Better price elsewhere,92901.81,Approved
RET00253,ORD001403,CUST0113,2023-05-30,Electronics,Changed mind,21293.81,Rejected
RET00254,ORD000459,CUST0400,2023-06-05,Electronics,Size mismatch,51719.16,Approved
RET00255,ORD003458,CUST0485,2023-08-14,Clothing,Changed mind,4999.0,Approved
RET00256,ORD004754,CUST0011,2023-04-05,Clothing,Size mismatch,5023.36,Approved
RET00257,ORD004594,CUST0499,2024-01-08,Groceries,Changed mind,2547.6,Approved
RET00258,ORD009205,CUST0214,2023-07-15,Electronics,Defective product,53988.0,Approved
RET00259,ORD010034,CUST0063,2023-10-30,Clothing,Product not as described,1363.3,Pending
RET00260,ORD005519,CUST0302,2023-12-19,Furniture,Defective product,41995.15,Rejected
RET00261,ORD008900,CUST0385,2023-11-19,Furniture,Product not as described,22695.36,Approved
RET00262,ORD005075,CUST0214,2023-01-10,Sports,Changed mind,18105.41,Approved
RET00263,ORD005977,CUST0294,2023-10-20,Clothing,Defective product,14381.36,Approved
RET00264,ORD011353,CUST0017,2023-11-11,Groceries,Defective product,286.97,Approved
RET00265,ORD002581,CUST0298,2023-11-19,Toys,Late delivery,1214.88,Approved
RET00266,ORD011124,CUST0452,2023-08-24,Furniture,Wrong item delivered,35602.99,Approved
RET00267,ORD005571,CUST0403,2023-05-06,Electronics,Better price elsewhere,52366.83,Pending
RET00268,ORD006519,CUST0127,2024-01-04,Groceries,Damaged packaging,1364.74,Rejected
RET00269,ORD006568,CUST0131,2023-10-18,Electronics,Size mismatch,102806.22,Approved
RET00270,ORD007042,CUST0463,2023-02-03,Electronics,Late delivery,64099.46,Approved
RET00271,ORD002274,CUST0143,2023-04-06,Books,Damaged packaging,1966.23,Pending
RET00272,ORD008363,CUST0022,2023-10-14,Groceries,Better price elsewhere,1532.37,Rejected
RET00273,ORD000870,CUST0227,2023-06-27,Sports,Wrong item delivered,3057.41,Rejected
RET00274,ORD000475,CUST0277,2023-04-19,Groceries,Defective product,2498.59,Approved
RET00275,ORD011764,CUST0113,2023-05-05,Furniture,Late delivery,145387.82,Approved
RET00276,ORD010270,CUST0496,2023-02-06,Clothing,Defective product,280.79,Rejected
RET00277,ORD009775,CUST0177,2024-01-04,Electronics,Wrong item delivered,191396.88,Pending
RET00278,ORD004812,CUST0123,2023-12-19,Groceries,Better price elsewhere,3350.37,Approved
RET00279,ORD006380,CUST0057,2024-01-01,Toys,Damaged packaging,9290.55,Rejected
RET00280,ORD000185,CUST0385,2023-03-12,Sports,Damaged packaging,13206.1,Pending
RET00281,ORD005286,CUST0215,2023-03-12,Groceries,Defective product,1372.66,Approved
RET00282,ORD001009,CUST0368,2023-03-08,Furniture,Wrong item delivered,112526.15,Pending
RET00283,ORD009665,CUST0276,2023-03-28,Clothing,Changed mind,1427.72,Pending
RET00284,ORD010115,CUST0324,2023-03-06,Sports,Damaged packaging,11752.74,Rejected
RET00285,ORD000776,CUST0014,2023-03-05,Groceries,Changed mind,557.06,Rejected
RET00286,ORD005206,CUST0236,2023-10-19,Books,Size mismatch,882.7,Approved
RET00287,ORD000849,CUST0475,2023-12-14,Groceries,Size mismatch,2624.23,Rejected
RET00288,ORD010217,CUST0282,2023-11-01,Clothing,Wrong item delivered,1177.01,Rejected
RET00289,ORD006309,CUST0202,2023-07-10,Sports,Product not as described,3533.65,Rejected
RET00290,ORD005666,CUST0496,2023-05-09,Clothing,Late delivery,18894.28,Pending
RET00291,ORD001878,CUST0305,2024-01-12,Furniture,Late delivery,49418.54,Pending
RET00292,ORD004202,CUST0432,2023-08-08,Clothing,Product not as described,5835.63,Approved
RET00293,ORD005852,CUST0286,2023-05-25,Electronics,Defective product,38943.21,Approved
RET00294,ORD008810,CUST0294,2023-06-11,Electronics,Wrong item delivered,300922.28,Rejected
RET00295,ORD001893,CUST0223,2023-01-12,Groceries,Defective product,818.33,Pending
RET00296,ORD007211,CUST0078,2023-01-29,Electronics,Size mismatch,159117.82,Approved
RET00297,ORD000536,CUST0108,2023-06-10,Clothing,Product not as described,8478.68,Pending
RET00298,ORD001725,CUST0239,2023-11-10,Electronics,Changed mind,106205.44,Rejected
RET00299,ORD007669,CUST0059,2023-04-06,Groceries,Late delivery,1673.4,Rejected
RET00300,ORD004697,CUST0329,2023-04-14,Groceries,Damaged packaging,2944.42,Approved
RET00301,ORD000933,CUST0395,2023-07-01,Clothing,Changed mind,1828.0,Approved
RET00302,ORD007559,CUST0243,2023-07-05,Groceries,Damaged packaging,1049.39,Pending
RET00303,ORD010234,CUST0249,2023-06-15,Clothing,Late delivery,9420.29,Approved
RET00304,ORD004651,CUST0194,2023-07-27,Electronics,Size mismatch,138948.13,Rejected
RET00305,ORD008118,CUST0157,2023-12-21,Clothing,Late delivery,2713.84,Approved
RET00306,ORD001728,CUST0018,2023-08-31,Electronics,Changed mind,112793.23,Approved
RET00307,ORD001336,CUST0271,2023-03-28,Electronics,Late delivery,42647.48,Pending
RET00308,ORD001644,CUST0437,2023-03-27,Books,Defective product,241.99,Pending
RET00309,ORD007846,CUST0077,2023-12-08,Sports,Changed mind,25887.51,Approved
RET00310,ORD000880,CUST0245,2023-04-24,Clothing,Late delivery,393.36,Rejected
