Region,Category,Month,Month_Num,Year,Sales_Target,Sales_Actual,Achievement_Pct
South,Toys,Apr,4,2023,518938.57,537999.92,103.7
South,Toys,May,5,2023,483933.92,502263.47,103.8
South,Toys,Jun,6,2023,579673.02,475401.85,82
South,Toys,Jul,7,2023,569517.05,650529.62,114.2
South,Toys,Aug,8,2023,482288.86,440321.93,91.3
South,Toys,Sep,9,2023,439649.14,346864.56,78.9
South,Toys,Oct,10,2023,665934.11,775338.62,116.4
South,Toys,Nov,11,2023,615687.61,534251.95,86.8
South,Toys,Dec,12,2023,618697.74,498445.5,80.6
East,Electronics,Jan,1,2023,338022.84,412416.03,122
East,Electronics,Feb,2,2023,315496.64,350565.44,111.1
East,Electronics,Mar,3,2023,336470.43,257791.42,76.6
East,Electronics,Apr,4,2023,303552.44,371775.53,122.5
East,Electronics,May,5,2023,315180.41,281919.21,89.4
East,Electronics,Jun,6,2023,362811.82,369007.85,101.7
East,Electronics,Jul,7,2023,323238.21,379445.35,117.4
East,Electronics,Aug,8,2023,321726.26,394302.63,122.6
East,Electronics,Sep,9,2023,290734.48,233592.6,80.3
East,Electronics,Oct,10,2023,376528.38,448763.78,119.2
East,Electronics,Nov,11,2023,380893.41,467421.65,122.7
East,Electronics,Dec,12,2023,372250.78,335003.39,90
East,Clothing,Jan,1,2023,314945.4,337017.89,107
East,Clothing,Feb,2,2023,351856.4,430234.51,122.3
East,Clothing,Mar,3,2023,317726.26,366146.75,115.2
East,Clothing,Apr,4,2023,354067.53,334373.14,94.4
East,Clothing,May,5,2023,306892.42,371907.75,121.2
East,Clothing,Jun,6,2023,387568.73,391489.28,101
East,Clothing,Jul,7,2023,362868.32,336088.42,92.6
East,Clothing,Aug,8,2023,324471.51,304776.2,93.9
East,Clothing,Sep,9,2023,322026.31,242620.58,75.3
East,Clothing,Oct,10,2023,436725.66,465319.39,106.5
East,Clothing,Nov,11,2023,400696.92,363519.45,90.7
East,Clothing,Dec,12,2023,458477.58,515849.16,112.5
East,Furniture,Jan,1,2023,725182.65,657088.35,90.6
East,Furniture,Feb,2,2023,621187.01,589457.1,94.9
East,Furniture,Mar,3,2023,676617.9,718178.77,106.1
East,Furniture,Apr,4,2023,637621.66,513526.68,80.5
East,Furniture,May,5,2023,616625.63,494562.2,80.2
East,Furniture,Jun,6,2023,797781.47,824975.12,103.4
East,Furniture,Jul,7,2023,760444.01,900908.9,118.5
East,Furniture,Aug,8,2023,704554.32,597766.79,84.8
East,Furniture,Sep,9,2023,702834.13,863775.97,122.9
East,Furniture,Oct,10,2023,902896.68,684475.67,75.8
East,Furniture,Nov,11,2023,954342.96,794441.16,83.2
East,Furniture,Dec,12,2023,913859.48,1119136.51,122.5
East,Groceries,Jan,1,2023,624299.43,654122.51,104.8
East,Groceries,Feb,2,2023,667010.97,635205.64,95.2
East,Groceries,Mar,3,2023,733855.13,718587.3,97.9
East,Groceries,Apr,4,2023,736608.22,665663.1,90.4
East,Groceries,May,5,2023,735166.54,888110.32,120.8
East,Groceries,Jun,6,2023,722560.88,795268.29,110.1
East,Groceries,Jul,7,2023,740553.3,590904.86,79.8
East,Groceries,Aug,8,2023,708515.6,875608.75,123.6
East,Groceries,Sep,9,2023,718903.08,662750.97,92.2
East,Groceries,Oct,10,2023,907139.7,843855.89,93
East,Groceries,Nov,11,2023,800119.02,657854.53,82.2
East,Groceries,Dec,12,2023,927520.59,1106674.09,119.3
East,Sports,Jan,1,2023,861267.43,823608.08,95.6
East,Sports,Feb,2,2023,813772.12,996215.47,122.4
East,Sports,Mar,3,2023,847482.54,882625.87,104.1
East,Sports,Apr,4,2023,832073.17,761572.66,91.5
East,Sports,May,5,2023,743636.49,894354.35,120.3
East,Sports,Jun,6,2023,904178.35,812474.01,89.9
East,Sports,Jul,7,2023,947308.22,1005929.01,106.2
East,Sports,Aug,8,2023,753107.64,726000.5,96.4
East,Sports,Sep,9,2023,751026.82,829924.64,110.5
East,Sports,Oct,10,2023,1109872.52,1320316.45,119
East,Sports,Nov,11,2023,1123984.22,1011601.12,90
East,Sports,Dec,12,2023,1043256.34,805983.99,77.3
East,Books,Jan,1,2023,338846.08,412558.32,121.8
East,Books,Feb,2,2023,376521.74,318916.3,84.7
East,Books,Mar,3,2023,392493.77,460851.06,117.4
East,Books,Apr,4,2023,402647.72,447580.1,111.2
East,Books,May,5,2023,369880.16,300186.79,81.2
East,Books,Jun,6,2023,407038.78,423511.97,104
East,Books,Jul,7,2023,398884.56,424589.36,106.4
East,Books,Aug,8,2023,368267.16,332486.14,90.3
East,Books,Sep,9,2023,377800.11,454112.18,120.2
East,Books,Oct,10,2023,477638.17,485868.39,101.7
East,Books,Nov,11,2023,472131.68,391999.29,83
East,Books,Dec,12,2023,507546.61,441122.04,86.9
East,Toys,Jan,1,2023,343248.89,407729.85,118.8
East,Toys,Feb,2,2023,361911.24,439911.43,121.6
East,Toys,Mar,3,2023,403209.6,458349.02,113.7
East,Toys,Apr,4,2023,384450.8,366291.86,95.3
East,Toys,May,5,2023,359194.01,424302.96,118.1
East,Toys,Jun,6,2023,385108.72,354968.78,92.2
East,Toys,Jul,7,2023,423958.91,502456.33,118.5
East,Toys,Aug,8,2023,342820.62,359466.61,104.9
East,Toys,Sep,9,2023,375866.37,388036.39,103.2
East,Toys,Oct,10,2023,442701.63,385859.36,87.2
East,Toys,Nov,11,2023,483218.35,473947.1,98.1
East,Toys,Dec,12,2023,443918.99,489802.25,110.3
West,Electronics,Jan,1,2023,119996.1,97099.2,80.9
West,Electronics,Feb,2,2023,119105.01,115898.83,97.3
West,Electronics,Mar,3,2023,112868.38,89033.74,78.9
West,Electronics,Apr,4,2023,104650.7,109548.87,104.7
West,Electronics,May,5,2023,117117.02,133413.82,113.9
West,Electronics,Jun,6,2023,113060.26,105610.3,93.4
West,Electronics,Jul,7,2023,122402.21,104813.32,85.6
West,Electronics,Aug,8,2023,118321.75,134406.98,113.6
West,Electronics,Sep,9,2023,102181.62,85520.9,83.7
West,Electronics,Oct,10,2023,153827.81,128617.77,83.6
West,Electronics,Nov,11,2023,158357.77,137916.71,87.1
West,Electronics,Dec,12,2023,147733.95,179447.54,121.5
West,Clothing,Jan,1,2023,222666.58,215735.27,96.9
West,Clothing,Feb,2,2023,244915.14,237922.29,97.1
West,Clothing,Mar,3,2023,233688.92,285068.55,122
West,Clothing,Apr,4,2023,235655.8,263665.57,111.9
West,Clothing,May,5,2023,253092.25,192365.73,76
West,Clothing,Jun,6,2023,245439.22,225188.05,91.7
West,Clothing,Jul,7,2023,264418.38,284658.43,107.7
West,Clothing,Aug,8,2023,233382.85,234779.44,100.6
West,Clothing,Sep,9,2023,243773.62,219705.06,90.1
West,Clothing,Oct,10,2023,317120.18,263917.68,83.2
West,Clothing,Nov,11,2023,311059.37,283013,91
West,Clothing,Dec,12,2023,302774.79,364669.98,120.4
West,Furniture,Jan,1,2023,432052.18,369669.43,85.6
West,Furniture,Feb,2,2023,395134.13,392611.93,99.4
West,Furniture,Mar,3,2023,410780.24,506398.62,123.3
West,Furniture,Apr,4,2023,381884.51,332619.45,87.1
West,Furniture,May,5,2023,418027.73,481695.93,115.2
West,Furniture,Jun,6,2023,438869.62,364144.72,83
West,Furniture,Jul,7,2023,433298.42,519210.21,119.8
West,Furniture,Aug,8,2023,389453.99,479499.7,123.1
West,Furniture,Sep,9,2023,457529.62,484339.61,105.9
West,Furniture,Oct,10,2023,585255.32,537016.67,91.8
West,Furniture,Nov,11,2023,495031.79,451014.26,91.1
West,Furniture,Dec,12,2023,527459.85,580156.38,110
West,Groceries,Jan,1,2023,754380.38,749317.82,99.3
West,Groceries,Feb,2,2023,696227.3,868502.48,124.7
West,Groceries,Mar,3,2023,811337.56,753380.6,92.9
West,Groceries,Apr,4,2023,735035.56,766971.52,104.3
West,Groceries,May,5,2023,721957.35,628081.07,87
West,Groceries,Jun,6,2023,804157.91,830721.57,103.3
West,Groceries,Jul,7,2023,913735.84,939776.2,102.8
West,Groceries,Aug,8,2023,774771.72,669491.05,86.4
West,Groceries,Sep,9,2023,792682.35,854422.36,107.8
West,Groceries,Oct,10,2023,899310.98,1054354.37,117.2
West,Groceries,Nov,11,2023,1086617.13,1316017.32,121.1
West,Groceries,Dec,12,2023,1053587.18,1115898.68,105.9
West,Sports,Jan,1,2023,348275.97,310965.68,89.3
West,Sports,Feb,2,2023,357171.09,433018.76,121.2
West,Sports,Mar,3,2023,348425.56,292075.58,83.8
West,Sports,Apr,4,2023,396288.82,348903.81,88
West,Sports,May,5,2023,382745.83,397896.75,104
West,Sports,Jun,6,2023,425722.63,440750.89,103.5
West,Sports,Jul,7,2023,371984.27,458654.57,123.3
West,Sports,Aug,8,2023,346785.48,424177.98,122.3
West,Sports,Sep,9,2023,370854.69,346298.71,93.4
West,Sports,Oct,10,2023,466295.83,566435.91,121.5
West,Sports,Nov,11,2023,488357.03,572351.23,117.2
West,Sports,Dec,12,2023,457364.19,547183.31,119.6
West,Books,Jan,1,2023,615048.35,748697.6,121.7
West,Books,Feb,2,2023,581073.82,559488.45,96.3
West,Books,Mar,3,2023,563288.32,649717.51,115.3
West,Books,Apr,4,2023,607131.79,734873.78,121
West,Books,May,5,2023,513656.53,577638.4,112.5
West,Books,Jun,6,2023,658495.77,542926.15,82.4
West,Books,Jul,7,2023,677149.47,821082.57,121.3
West,Books,Aug,8,2023,543921.41,429572.13,79
West,Books,Sep,9,2023,531874.53,468175.97,88
West,Books,Oct,10,2023,739816.26,923481.39,124.8
West,Books,Nov,11,2023,664360.39,791121.81,119.1
West,Books,Dec,12,2023,776226.37,829687.85,106.9
West,Toys,Jan,1,2023,428459.58,522570.36,122
West,Toys,Feb,2,2023,418233.72,427150.48,102.1
West,Toys,Mar,3,2023,447669.57,410894.42,91.8
West,Toys,Apr,4,2023,415984.86,359756.14,86.5
West,Toys,May,5,2023,418459.72,365060.76,87.2
West,Toys,Jun,6,2023,486604.35,450524.9,92.6
West,Toys,Jul,7,2023,413725.43,404129.5,97.7
West,Toys,Aug,8,2023,442782.03,382515.67,86.4
West,Toys,Sep,9,2023,412013.64,477591.89,115.9
West,Toys,Oct,10,2023,576967.68,546286.34,94.7
West,Toys,Nov,11,2023,496370.98,480623.01,96.8
West,Toys,Dec,12,2023,561972.21,632010.13,112.5
